CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Idade_Group,Renda_Group,Score_Group,Cluster_KMeans,Cluster_Hierarchical
1,Male,19,15,39,Jovem,Renda_Baixa,Score_Medio,4,4
2,Male,21,15,81,Jovem,Renda_Baixa,Score_Alto,0,3
3,Female,20,16,6,Jovem,Renda_Baixa,Score_Baixo,4,4
4,Female,23,16,77,Jovem,Renda_Baixa,Score_Alto,0,3
5,Female,31,17,40,Adulto,Renda_Baixa,Score_Medio,4,4
6,Female,22,17,76,Jovem,Renda_Baixa,Score_Alto,0,3
7,Female,35,18,6,Adulto,Renda_Baixa,Score_Baixo,4,4
8,Female,23,18,94,Jovem,Renda_Baixa,Score_Alto,0,3
9,Male,64,19,3,Senior,Renda_Baixa,Score_Baixo,4,4
10,Female,30,19,72,Adulto,Renda_Baixa,Score_Alto,0,3
11,Male,67,19,14,Senior,Renda_Baixa,Score_Baixo,4,4
12,Female,35,19,99,Adulto,Renda_Baixa,Score_Alto,0,3
13,Female,58,20,15,Senior,Renda_Baixa,Score_Baixo,4,4
14,Female,24,20,77,Jovem,Renda_Baixa,Score_Alto,0,3
15,Male,37,20,13,Adulto,Renda_Baixa,Score_Baixo,4,4
16,Male,22,20,79,Jovem,Renda_Baixa,Score_Alto,0,3
17,Female,35,21,35,Adulto,Renda_Baixa,Score_Medio,4,4
18,Male,20,21,66,Jovem,Renda_Baixa,Score_Medio,0,3
19,Male,52,23,29,Senior,Renda_Baixa,Score_Baixo,4,4
20,Female,35,23,98,Adulto,Renda_Baixa,Score_Alto,0,3
21,Male,35,24,35,Adulto,Renda_Baixa,Score_Medio,4,4
22,Male,25,24,73,Jovem,Renda_Baixa,Score_Alto,0,3
23,Female,46,25,5,Adulto,Renda_Baixa,Score_Baixo,4,4
24,Male,31,25,73,Adulto,Renda_Baixa,Score_Alto,0,3
25,Female,54,28,14,Senior,Renda_Baixa,Score_Baixo,4,4
26,Male,29,28,82,Jovem,Renda_Baixa,Score_Alto,0,3
27,Female,45,28,32,Adulto,Renda_Baixa,Score_Baixo,4,4
28,Male,35,28,61,Adulto,Renda_Baixa,Score_Medio,0,1
29,Female,40,29,31,Adulto,Renda_Baixa,Score_Baixo,4,4
30,Female,23,29,87,Jovem,Renda_Baixa,Score_Alto,0,3
31,Male,60,30,4,Senior,Renda_Baixa,Score_Baixo,4,4
32,Female,21,30,73,Jovem,Renda_Baixa,Score_Alto,0,3
33,Male,53,33,4,Senior,Renda_Baixa,Score_Baixo,4,4
34,Male,18,33,92,Jovem,Renda_Baixa,Score_Alto,0,3
35,Female,49,33,14,Adulto,Renda_Baixa,Score_Baixo,4,4
36,Female,21,33,81,Jovem,Renda_Baixa,Score_Alto,0,3
37,Female,42,34,17,Adulto,Renda_Baixa,Score_Baixo,4,4
38,Female,30,34,73,Adulto,Renda_Baixa,Score_Alto,0,3
39,Female,36,37,26,Adulto,Renda_Baixa,Score_Baixo,4,4
40,Female,20,37,75,Jovem,Renda_Baixa,Score_Alto,0,3
41,Female,65,38,35,Senior,Renda_Baixa,Score_Medio,4,4
42,Male,24,38,92,Jovem,Renda_Baixa,Score_Alto,0,3
43,Male,48,39,36,Adulto,Renda_Baixa,Score_Medio,4,4
44,Female,31,39,61,Adulto,Renda_Baixa,Score_Medio,3,1
45,Female,49,39,28,Adulto,Renda_Baixa,Score_Baixo,4,4
